name,publisher,feed_url,tier,country,default_language,topics
gn-nordics-startups,Google News,https://news.google.com/rss/search?q=Sweden%20OR%20Denmark%20OR%20Finland%20OR%20Norway%20startup%20funding&hl=en-GB&gl=GB&ceid=GB:en,2,,en,startups
gn-korea-startups,Google News,https://news.google.com/rss/search?q=Korea%20startup%20funding%20Seoul&hl=en-US&gl=US&ceid=US:en,2,,en,startups
gn-defense-startup,Google News,https://news.google.com/rss/search?q=defense%20tech%20startup%20funding&hl=en-US&gl=US&ceid=US:en,3,,en,startups;vertical
gn-robotics-startup,Google News,https://news.google.com/rss/search?q=robotics%20startup%20funding&hl=en-US&gl=US&ceid=US:en,3,,en,startups;vertical
gn-quantum-startup,Google News,https://news.google.com/rss/search?q=quantum%20computing%20startup%20funding&hl=en-US&gl=US&ceid=US:en,3,,en,startups;vertical
gn-nuclear-fusion-startup,Google News,https://news.google.com/rss/search?q=fusion%20OR%20nuclear%20startup%20funding&hl=en-US&gl=US&ceid=US:en,3,,en,startups;vertical
gn-devtools-startup,Google News,https://news.google.com/rss/search?q=developer%20tools%20startup%20funding&hl=en-US&gl=US&ceid=US:en,3,,en,startups;vertical
gn-cybersecurity-startup,Google News,https://news.google.com/rss/search?q=cybersecurity%20startup%20funding&hl=en-US&gl=US&ceid=US:en,3,,en,startups;vertical
gn-healthtech-startup,Google News,https://news.google.com/rss/search?q=healthtech%20OR%20%22digital%20health%22%20startup%20funding&hl=en-US&gl=US&ceid=US:en,3,,en,startups;vertical
gn-edtech-startup,Google News,https://news.google.com/rss/search?q=edtech%20startup%20funding&hl=en-US&gl=US&ceid=US:en,3,,en,startups;vertical
gn-agritech-startup,Google News,https://news.google.com/rss/search?q=agtech%20OR%20agritech%20startup%20funding&hl=en-US&gl=US&ceid=US:en,3,,en,startups;vertical
gn-proptech-startup,Google News,https://news.google.com/rss/search?q=proptech%20OR%20contech%20startup%20funding&hl=en-US&gl=US&ceid=US:en,3,,en,startups;vertical
gn-gaming-startup,Google News,https://news.google.com/rss/search?q=game%20studio%20startup%20funding&hl=en-US&gl=US&ceid=US:en,3,,en,startups;vertical
gn-open-source-startup,Google News,https://news.google.com/rss/search?q=%22open%20source%22%20startup%20funding%20round&hl=en-US&gl=US&ceid=US:en,3,,en,startups;vertical
